"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID124""}","{""ImportId"":""QID123""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID84_2""}","{""ImportId"":""QID84_3""}","{""ImportId"":""QID84_4""}","{""ImportId"":""QID84_5""}","{""ImportId"":""QID84_6""}","{""ImportId"":""QID84_7""}","{""ImportId"":""QID84_8""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_2""}","{""ImportId"":""QID127_3""}","{""ImportId"":""QID132_4""}","{""ImportId"":""QID131_5""}","{""ImportId"":""QID129_6""}","{""ImportId"":""QID130_9""}","{""ImportId"":""QID128_7""}","{""ImportId"":""QID95_5""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID102""}","{""ImportId"":""QID26""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID107_2""}","{""ImportId"":""QID107_3""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}"
2024-04-22 19:25:48,2024-04-22 20:16:25,100,3037,True,2024-04-22 20:16:25,R_16KklfVkSoiaDvj,anonymous,EN,"ACC 6400 Advanced Taxation of Business Entites,ACC 6560 Financial Accounting Theory & Research I",ACC 6350 Management Control System (if not taken as core),3,1,5,7,8,6,2,4,,,,,5,,,,7,13,3,9,Yes,Yes,Strongly Agree,Agree,Neither disagree or agree,,
2024-04-22 19:56:54,2024-04-22 20:24:58,100,1683,True,2024-04-22 20:24:58,R_1DqhHiQm0UPD6KZ,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants",ACC 6250 Financial Reporting & Analysis,4,1,5,7,8,3,6,2,,,,4,,,,,13,25,1,16,Maybe,Maybe,Strongly Agree,Agree,Strongly Agree,,
2024-04-22 16:48:29,2024-04-22 20:37:45,100,13756,True,2024-04-22 20:37:46,R_5JPfTIksoH1owJQ,anonymous,EN,ACC 6560 Financial Accounting Theory & Research I,,2,6,1,5,3,4,7,8,,,,,,,,,7,10,4,6,Yes,Yes,Strongly Agree,Strongly Agree,Agree,"FAR,Audit",
2024-04-22 20:05:40,2024-04-22 20:44:11,100,2310,True,2024-04-22 20:44:11,R_269iJxToTTKKeCV,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core),ACC 679R Taxation of Business Entities II",3,2,1,5,7,6,4,8,,,4,3,5,,,4,20,23,12,10,Maybe,Yes,Agree,Agree,Disagree,,
2024-04-22 21:08:24,2024-04-22 21:21:35,100,791,True,2024-04-22 21:21:35,R_7e4fFgIjzFaIkJK,anonymous,EN,"ACC 6300 Advanced Data Analytics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6150 Information Systems Auditing,ACC 6600 Business Law for Accountants (if not taken as core)",1,6,3,7,2,8,5,4,,,4,,,,4,,11,16,3,16,Yes,Yes,Neither disagree or agree,Neither disagree or agree,Neither disagree or agree,FAR,
2024-04-23 01:24:56,2024-04-23 01:44:01,100,1144,True,2024-04-23 01:44:02,R_2zoKi6bnZOSR6hI,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6020 Advanced Financial Application,ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis",3,2,5,4,7,1,6,8,5,5,5,3,,,,,10,15,5,10,Yes,Yes,Agree,Neither disagree or agree,Neither disagree or agree,,
2024-04-23 07:28:03,2024-04-23 07:42:00,100,836,True,2024-04-23 07:42:00,R_3p4ib8ootrqPE02,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6250 Financial Reporting & Analysis,ACC 6600 Business Law for Accountants (if not taken as core)",8,3,1,6,7,4,5,2,,,,4,,,4,,10,15,4,6,Yes,Yes,Neither disagree or agree,Agree,Neither disagree or agree,,
2024-04-23 10:19:58,2024-04-23 10:31:01,100,662,True,2024-04-23 10:31:01,R_5IYInL1OOCzqSf0,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 679R Taxation of Business Entities II",6,1,2,3,7,4,5,8,,2,3,,,,,3,13,18,3,8,Maybe,Yes,Disagree,Strongly Disagree,Agree,,
2024-04-23 10:10:08,2024-04-23 10:34:49,100,1481,True,2024-04-23 10:34:50,R_3l1v1SOa4PUwadj,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 679R Taxation of Business Entities II",5,3,1,7,6,4,2,8,,,4,5,,,,5,14,23,6,12,No,Yes,Neither disagree or agree,Disagree,Strongly Agree,,
2024-04-23 09:56:24,2024-04-23 10:54:28,100,3483,True,2024-04-23 10:54:29,R_24GCRc36OmKFkoH,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 679R Taxation of Business Entities II",6,2,1,4,7,3,5,8,,,4,5,,,,5,10,14,8,15,Yes,Yes,Disagree,Neither disagree or agree,Agree,,
2024-04-23 10:56:52,2024-04-23 11:17:18,100,1225,True,2024-04-23 11:17:18,R_8eFWpHzvI2I12j9,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6540 Professional Ethics","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core)",,,,,,,,,,5,4,5,4,,,,23,21,11,16,Yes,Yes,Neither disagree or agree,Strongly Agree,Agree,,
2024-04-23 09:01:32,2024-04-23 11:40:01,100,9509,True,2024-04-23 11:40:02,R_1074pRfnNoKLPp4,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6020 Advanced Financial Application,ACC 6150 Information Systems Auditing",3,5,2,4,6,1,7,8,5,,5,,,,,,18,25,10,20,Yes,Yes,Strongly Agree,Strongly Agree,Agree,,
2024-04-23 12:18:05,2024-04-23 12:54:12,100,2166,True,2024-04-23 12:54:12,R_1gpyDxhYIBrMvDk,anonymous,EN,,ACC 6600 Business Law for Accountants (if not taken as core),4,5,6,1,3,2,8,7,,,,,,,4,,10,18,2,10,Maybe,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,"FAR,Audit","FAR,Audit"
2024-04-23 13:20:21,2024-04-23 14:00:43,100,2422,True,2024-04-23 14:00:43,R_1DnbK1Wb70knxO1,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I","ACC 6350 Management Control System (if not taken as core),ACC 6410 Tax Research and Procedure,ACC 6600 Business Law for Accountants (if not taken as core),ACC 679R Taxation of Business Entities II",6,3,1,5,7,4,8,2,,,,,,4,4,5,20,25,6,15,Yes,Yes,Neither disagree or agree,Neither disagree or agree,Strongly Agree,,
2024-04-23 14:00:56,2024-04-23 14:18:40,100,1064,True,2024-04-23 14:18:40,R_5rNKMNZnIKgLuoY,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6020 Advanced Financial Application,ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing",6,5,7,2,3,1,4,8,5,2,5,,,,,,13,25,4,20,Maybe,Yes,Neither disagree or agree,Agree,Agree,,
2024-04-22 19:19:55,2024-04-23 15:10:27,100,71431,True,2024-04-23 15:10:28,R_2D6bQWfAEvmCn3r,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core),ACC 6600 Business Law for Accountants (if not taken as core)",8,5,3,4,6,2,7,1,,,2,4,3,,5,,7,15,2,4,Yes,Yes,Disagree,Agree,Agree,Audit,
2024-04-23 08:48:49,2024-04-23 15:22:51,100,23642,True,2024-04-23 15:22:51,R_3YfVvJcf7ECx1hq,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 679R Taxation of Business Entities II",2,5,1,6,7,3,4,8,,1,3,,,,,5,18,25,12,15,Maybe,Yes,Strongly Disagree,Strongly Disagree,Neither disagree or agree,,
2024-04-23 18:32:01,2024-04-23 19:01:20,100,1758,True,2024-04-23 19:01:21,R_5TNpcj1BO2FcMdv,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core)",3,2,1,6,7,4,5,8,,4,5,3,3,,,,7,9,3,8,Yes,Yes,Agree,Neither disagree or agree,Strongly Agree,,
2024-04-23 20:05:25,2024-04-23 20:58:20,100,3175,True,2024-04-23 20:58:21,R_10czstobtIJLxG8,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6600 Business Law for Accountants","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core)",5,3,1,7,8,6,2,4,,2,,3,5,,,,4,8,1,2,Yes,Yes,Agree,Agree,Neither disagree or agree,"FAR,Audit,Regulation","FAR,Audit,Regulation"
2024-04-24 07:44:07,2024-04-24 08:06:53,100,1365,True,2024-04-24 08:06:54,R_7jTLBrt5S9ZjMFT,anonymous,EN,"ACC 6400 Advanced Taxation of Business Entites,ACC 6350 Management Control Systems",ACC 6250 Financial Reporting & Analysis,3,2,6,7,4,5,1,8,,,,4,,,,,5,10,2,5,Yes,Maybe,Agree,Neither disagree or agree,Agree,,
2024-04-24 10:38:02,2024-04-24 10:59:29,100,1287,True,2024-04-24 10:59:30,R_3iD4RxIfWTtgEOk,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6250 Financial Reporting & Analysis,ACC 6410 Tax Research and Procedure,ACC 679R Taxation of Business Entities II",5,2,1,6,7,3,4,8,,,,4,,,,4,12,20,8,10,Yes,Yes,Agree,Disagree,Strongly Agree,"Audit,Regulation",
2024-04-25 18:54:10,2024-04-25 22:57:07,100,14576,True,2024-04-25 22:57:08,R_5kNRsCYkWrFQY25,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants","ACC 6410 Tax Research and Procedure,ACC 679R Taxation of Business Entities II",7,4,1,3,6,5,8,2,,,,,,3,,5,9,13,5,11,Yes,Yes,Agree,Strongly Agree,Agree,,
2024-04-26 00:36:32,2024-04-26 00:46:36,100,603,True,2024-04-26 00:46:36,R_60MOsWvkBN9r7a1,anonymous,EN,"ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core)",8,1,2,3,6,7,4,5,,,4,4,4,,,,7,15,2,8,Yes,Yes,Disagree,Agree,Disagree,,
2024-04-19 19:08:11,2024-04-19 19:09:25,63,73,False,2024-04-26 19:09:26,R_2UdBcXC57b1AiL7,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-28 19:55:54,2024-04-29 11:39:52,100,56637,True,2024-04-29 11:39:52,R_3rZJkb1AEkcFlac,anonymous,EN,"ACC 6300 Advanced Data Analytics,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants",ACC 679R Taxation of Business Entities II,8,4,1,6,5,7,3,2,,,,,,,,5,19,24,10,20,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,
2024-04-22 12:58:41,2024-04-22 12:59:44,2,62,False,2024-04-29 12:59:47,R_2LNEk2R37Zs2FUe,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22 16:23:35,2024-04-22 16:23:40,2,4,False,2024-04-29 16:23:41,R_1qz0InnK53IUUCq,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22 17:28:33,2024-04-22 17:28:52,2,18,False,2024-04-29 17:28:57,R_3g0dWPDGEa0bkt6,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22 17:24:36,2024-04-22 19:48:14,9,8617,False,2024-04-29 19:48:17,R_5JXF037sSkTE6ZW,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6600 Business Law for Accountants","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 679R Taxation of Business Entities II",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22 19:47:55,2024-04-22 19:51:54,2,239,False,2024-04-29 19:51:58,R_2SBSwjNsolck385,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core),ACC 6600 Business Law for Accountants (if not taken as core)",,,,,,,,,,,,,,,,,,,,,,,,,,,
